Player Name,Country,Role,Base_Price,Selling_Price,Team,Bid,Team_ID
Deepak Hooda,India,ALL-ROUNDER,4000000,57500000,Lucknow Super Giants,SOLD,LSG
Dinesh Karthik,India,WICKETKEEPER,20000000,55000000,Royal Challengers Bangalore,SOLD,RCB
Syed Khaleel Ahmed,India,BOWLER,5000000,52500000,Delhi Capitals,SOLD,DC
Rahul Chahar,India,BOWLER,7500000,52500000,Punjab Kings,SOLD,PK
R Ashwin,India,ALL-ROUNDER,20000000,50000000,Rajasthan Royals,SOLD,RR
Abhijeet Tomar,India,BATSMAN,2000000,4000000,Kolkata Knight Riders,SOLD,KKR
Benny Howell,England,ALL-ROUNDER,4000000,4000000,Punjab Kings,SOLD,PK
Manish Pandey,India,BATSMAN,10000000,46000000,Lucknow Super Giants,SOLD,LSG
Dwayne Bravo,West Indies,ALL-ROUNDER,20000000,44000000,Chennai Super Kings,SOLD,CSK
Bhuvneshwar Kumar,India,BOWLER,20000000,42000000,Sunrisers Hyderabad,SOLD,SRH
Marco Jansen,South Africa,ALL-ROUNDER,5000000,42000000,Sunrisers Hyderabad,SOLD,SRH
Chetan Sakariya,India,BOWLER,5000000,42000000,Delhi Capitals,SOLD,DC
T Natarajan,India,BOWLER,10000000,40000000,Sunrisers Hyderabad,SOLD,SRH
Kartik Tyagi,India,BOWLER,2000000,40000000,Sunrisers Hyderabad,SOLD,SRH
Shivam Dube,India,ALL-ROUNDER,5000000,40000000,Chennai Super Kings,SOLD,CSK
KC Cariappa,India,BOWLER,2000000,3000000,Rajasthan Royals,SOLD,RR
Suyash Prabhudessai,India,ALL-ROUNDER,2000000,3000000,Royal Challengers Bangalore,SOLD,RCB
Arjun Tendulkar,India,ALL-ROUNDER,2000000,3000000,Mumbai Indians,SOLD,MI
Basil Thampi,India,BOWLER,3000000,3000000,Mumbai Indians,SOLD,MI
Noor Ahmad,Afghanistan,BOWLER,3000000,3000000,Gujarat Titans,SOLD,GT
Harpreet Brar,India,ALL-ROUNDER,2000000,38000000,Punjab Kings,SOLD,PK
Riyan Parag,India,ALL-ROUNDER,3000000,38000000,Rajasthan Royals,SOLD,RR
Chris Jordan,England,ALL-ROUNDER,20000000,36000000,Chennai Super Kings,SOLD,CSK
Anuj Rawat,India,WICKETKEEPER,2000000,34000000,Royal Challengers Bangalore,SOLD,RCB
Yash Dayal,India,BOWLER,2000000,32000000,Gujarat Titans,SOLD,GT
David Miller,South Africa,BATSMAN,10000000,30000000,Gujarat Titans,SOLD,GT
Dewald Brevis,South Africa,BATSMAN,2000000,30000000,Mumbai Indians,SOLD,MI
R Sai Kishore,India,BOWLER,2000000,30000000,Gujarat Titans,SOLD,GT
Ishan Porel,India,BOWLER,2000000,2500000,Punjab Kings,SOLD,PK
Chama Milind,India,BOWLER,2000000,2500000,Royal Challengers Bangalore,SOLD,RCB
Priyam Garg,India,BATSMAN,2000000,2000000,Sunrisers Hyderabad,SOLD,SRH
Ashwin Hebbar,India,BATSMAN,2000000,2000000,Delhi Capitals,SOLD,DC
CHari Nishaanth,India,BATSMAN,2000000,2000000,Chennai Super Kings,SOLD,CSK
Anmolpreet Singh,India,BATSMAN,2000000,2000000,Mumbai Indians,SOLD,MI
Sarfaraz Khan,India,ALL-ROUNDER,2000000,2000000,Delhi Capitals,SOLD,DC
N Jagadeesan,India,WICKETKEEPER,2000000,2000000,Chennai Super Kings,SOLD,CSK
Jitesh Sharma,India,WICKETKEEPER,2000000,2000000,Punjab Kings,SOLD,PK
KM Asif,India,BOWLER,2000000,2000000,Chennai Super Kings,SOLD,CSK
Akash Deep,India,BOWLER,2000000,2000000,Royal Challengers Bangalore,SOLD,RCB
Tushar Deshpande,India,BOWLER,2000000,2000000,Chennai Super Kings,SOLD,CSK
Jagadeesha Suchith,India,BOWLER,2000000,2000000,Sunrisers Hyderabad,SOLD,SRH
Manan Vohra,India,BATSMAN,2000000,2000000,Lucknow Super Giants,SOLD,LSG
Darshan Nalkande,India,ALL-ROUNDER,2000000,2000000,Gujarat Titans,SOLD,GT
Vicky Ostwal,India,ALL-ROUNDER,2000000,2000000,Delhi Capitals,SOLD,DC
Ripal Patel,India,ALL-ROUNDER,2000000,2000000,Delhi Capitals,SOLD,DC
Anukul Roy,India,ALL-ROUNDER,2000000,2000000,Kolkata Knight Riders,SOLD,KKR
Kuldeep Sen,India,BOWLER,2000000,2000000,Rajasthan Royals,SOLD,RR
Simarjeet Singh,India,BOWLER,2000000,2000000,Chennai Super Kings,SOLD,CSK
Subhranshu Senapati,India,BATSMAN,2000000,2000000,Chennai Super Kings,SOLD,CSK
Prerak Mankad,India,ALL-ROUNDER,2000000,2000000,Punjab Kings,SOLD,PK
Ramandeep Singh,India,ALL-ROUNDER,2000000,2000000,Mumbai Indians,SOLD,MI
B Sai Sudharsan,India,ALL-ROUNDER,2000000,2000000,Gujarat Titans,SOLD,GT
Atharva Taide,India,ALL-ROUNDER,2000000,2000000,Punjab Kings,SOLD,PK
Dhruv Jurel,India,WICKETKEEPER,2000000,2000000,Rajasthan Royals,SOLD,RR
Aryan Juyal,India,WICKETKEEPER,2000000,2000000,Mumbai Indians,SOLD,MI
Luvnith Sisodia,India,WICKETKEEPER,2000000,2000000,Royal Challengers Bangalore,SOLD,RCB
Mukesh Choudhary,India,BOWLER,2000000,2000000,Chennai Super Kings,SOLD,CSK
Rasikh Dar,India,BOWLER,2000000,2000000,Kolkata Knight Riders,SOLD,KKR
Mohsin Khan,India,BOWLER,2000000,2000000,Lucknow Super Giants,SOLD,LSG
Mayank Yadav,India,BOWLER,2000000,2000000,Lucknow Super Giants,SOLD,LSG
Tejas Baroka,India,BOWLER,2000000,2000000,Rajasthan Royals,SOLD,RR
Rahul Buddhi,India,BATSMAN,2000000,2000000,Mumbai Indians,SOLD,MI
Ayush Badoni,India,ALL-ROUNDER,2000000,2000000,Lucknow Super Giants,SOLD,LSG
Aneeshwar Gautam,India,ALL-ROUNDER,2000000,2000000,Royal Challengers Bangalore,SOLD,RCB
Baba Indrajith,India,WICKETKEEPER,2000000,2000000,Kolkata Knight Riders,SOLD,KKR
Kuldip Yadav,India,BOWLER,2000000,2000000,Rajasthan Royals,SOLD,RR
R Samarth,India,BATSMAN,2000000,2000000,Sunrisers Hyderabad,SOLD,SRH
Aman Khan,India,ALL-ROUNDER,2000000,2000000,Kolkata Knight Riders,SOLD,KKR
Pradeep Sangwan,India,ALL-ROUNDER,2000000,2000000,Gujarat Titans,SOLD,GT
Ramesh Kumar,India,BATSMAN,2000000,2000000,Kolkata Knight Riders,SOLD,KKR
Pratham Singh,India,BATSMAN,2000000,2000000,Kolkata Knight Riders,SOLD,KKR
Writtick Chatterjee,India,ALL-ROUNDER,2000000,2000000,Punjab Kings,SOLD,PK
Hrithik Shokeen,India,ALL-ROUNDER,2000000,2000000,Mumbai Indians,SOLD,MI
Shashank Singh,India,ALL-ROUNDER,2000000,2000000,Sunrisers Hyderabad,SOLD,SRH
Karan Sharma,India,ALL-ROUNDER,2000000,2000000,Lucknow Super Giants,SOLD,LSG
Baltej Dhanda,India,BOWLER,2000000,2000000,Punjab Kings,SOLD,PK
Saurabh Dubey,India,BOWLER,2000000,2000000,Sunrisers Hyderabad,SOLD,SRH
Mohd Arshad Khan,India,ALL-ROUNDER,2000000,2000000,Mumbai Indians,SOLD,MI
Ansh Patel,India,ALL-ROUNDER,2000000,2000000,Punjab Kings,SOLD,PK
KBhagath Varma,India,ALL-ROUNDER,2000000,2000000,Chennai Super Kings,SOLD,CSK
Shubham Garhwal,India,ALL-ROUNDER,2000000,2000000,Rajasthan Royals,SOLD,RR
Anunay Singh,India,ALL-ROUNDER,2000000,2000000,Rajasthan Royals,SOLD,RR
Rovman Powell,West Indies,BATSMAN,7500000,28000000,Delhi Capitals,SOLD,DC
Aiden Markram,South Africa,BATSMAN,10000000,26000000,Sunrisers Hyderabad,SOLD,SRH
Daniel Sams,Australia,ALL-ROUNDER,10000000,26000000,Mumbai Indians,SOLD,MI
Abhinav Sadarangani,India,BATSMAN,2000000,26000000,Gujarat Titans,SOLD,GT
Navdeep Saini,India,BOWLER,7500000,26000000,Rajasthan Royals,SOLD,RR
Matthew Wade,Australia,WICKETKEEPER,20000000,24000000,Gujarat Titans,SOLD,GT
Shahbaz Ahamad,India,ALL-ROUNDER,3000000,24000000,Royal Challengers Bangalore,SOLD,RCB
Sean Abbott,Australia,BOWLER,7500000,24000000,Sunrisers Hyderabad,SOLD,SRH
Alzaari Joseph,West Indies,BOWLER,7500000,24000000,Gujarat Titans,SOLD,GT
Kuldeep Yadav,India,BOWLER,10000000,20000000,Delhi Capitals,SOLD,DC
Jason Roy,England,BATSMAN,20000000,20000000,Gujarat Titans,SOLD,GT
Robin Uthappa,India,BATSMAN,20000000,20000000,Chennai Super Kings,SOLD,CSK
Sam Billings,England,WICKETKEEPER,20000000,20000000,Kolkata Knight Riders,SOLD,KKR
Mustafizur Rahman,Bangladesh,BOWLER,20000000,20000000,Delhi Capitals,SOLD,DC
Umesh Yadav,India,BOWLER,20000000,20000000,Kolkata Knight Riders,SOLD,KKR
Nathan Coulter-Nile,Australia,BOWLER,20000000,20000000,Rajasthan Royals,SOLD,RR
Evin Lewis,West Indies,BATSMAN,20000000,20000000,Lucknow Super Giants,SOLD,LSG
David Willey,England,ALL-ROUNDER,20000000,20000000,Royal Challengers Bangalore,SOLD,RCB
KS Bharat,India,WICKETKEEPER,2000000,20000000,Delhi Capitals,SOLD,DC
Raj Angad Bawa,India,ALL-ROUNDER,2000000,20000000,Punjab Kings,SOLD,PK
Vaibhav Arora,India,BOWLER,2000000,20000000,Punjab Kings,SOLD,PK
Dushmanta Chameera,Sri Lanka,BOWLER,5000000,20000000,Lucknow Super Giants,SOLD,LSG
Ishan Kishan,India,WICKETKEEPER,20000000,152500000,Mumbai Indians,SOLD,MI
Deepak Chahar,India,BOWLER,20000000,140000000,Chennai Super Kings,SOLD,CSK
Shreyas Iyer,India,BATSMAN,20000000,122500000,Kolkata Knight Riders,SOLD,KKR
Liam Livingstone,England,ALL-ROUNDER,10000000,115000000,Punjab Kings,SOLD,PK
Wanindu Hasaranga,Sri Lanka,ALL-ROUNDER,10000000,107500000,Royal Challengers Bangalore,SOLD,RCB
Nicholas Pooran,West Indies,WICKETKEEPER,15000000,107500000,Sunrisers Hyderabad,SOLD,SRH
Harshal Patel,India,ALL-ROUNDER,20000000,107500000,Royal Challengers Bangalore,SOLD,RCB
Shardul Thakur,India,BOWLER,20000000,107500000,Delhi Capitals,SOLD,DC
Prasidh Krishna,India,BOWLER,10000000,100000000,Rajasthan Royals,SOLD,RR
Lockie Ferguson,New Zealand,BOWLER,20000000,100000000,Gujarat Titans,SOLD,GT
Avesh Khan,India,BOWLER,2000000,100000000,Lucknow Super Giants,SOLD,LSG
Wriddhiman Saha,India,WICKETKEEPER,10000000,19000000,Gujarat Titans,SOLD,GT
Mitchell Santner,New Zealand,ALL-ROUNDER,10000000,19000000,Chennai Super Kings,SOLD,CSK
Adam Milne,New Zealand,BOWLER,15000000,19000000,Chennai Super Kings,SOLD,CSK
Jayant Yadav,India,ALL-ROUNDER,10000000,17000000,Gujarat Titans,SOLD,GT
N Tilak Varma,India,ALL-ROUNDER,2000000,17000000,Mumbai Indians,SOLD,MI
Murugan Ashwin,India,BOWLER,2000000,16000000,Mumbai Indians,SOLD,MI
Tymal Mills,England,BOWLER,10000000,15000000,Mumbai Indians,SOLD,MI
James Neesham,New Zealand,ALL-ROUNDER,15000000,15000000,Rajasthan Royals,SOLD,RR
Alex Hales,England,BATSMAN,15000000,15000000,Kolkata Knight Riders,SOLD,KKR
Glenn Phillips,New Zealand,WICKETKEEPER,15000000,15000000,Sunrisers Hyderabad,SOLD,SRH
Tim Southee,New Zealand,BOWLER,15000000,15000000,Kolkata Knight Riders,SOLD,KKR
Rajvardhan Hangargekar,India,ALL-ROUNDER,3000000,15000000,Chennai Super Kings,SOLD,CSK
Vijay Shankar,India,ALL-ROUNDER,5000000,14000000,Gujarat Titans,SOLD,GT
Karun Nair,India,BATSMAN,5000000,14000000,Rajasthan Royals,SOLD,RR
Jaydev Unadkat,India,BOWLER,7500000,13000000,Mumbai Indians,SOLD,MI
Prashant Solanki,India,BOWLER,2000000,12000000,Chennai Super Kings,SOLD,CSK
Kamlesh Nagarkoti,India,ALL-ROUNDER,4000000,11000000,Delhi Capitals,SOLD,DC
Mandeep Singh,India,BATSMAN,5000000,11000000,Delhi Capitals,SOLD,DC
